Pais,PIB,TasaArancel
China,89357.98815,67
European Union,,39
Vietnam,101859406.3,90
Taiwan,,64
Japan,4743896.499,46
India,205384.1269,52
South Korea,43245332.44,50
Thailand,249950.2004,72
Switzerland,89457.89631,61
Indonesia,74299838.98,64
Malaysia,51895.71765,47
Cambodia,9987852.486,97
United Kingdom,39795.5962,10
South Africa,111117.3794,60
Brazil,51416.47625,10
Bangladesh,261907.0703,74
Singapore,113778.3626,10
Israel,193059.5048,33
Philippines,211666.4428,34
Chile,14338098.91,10
Australia,96309.61432,10
Pakistan,339207.6657,58
Turkey,311109.5409,10
Sri Lanka,1253785.229,88
Colombia,30053963.64,10
Marshall Islands,6678.342391,10
Saint Pierre and Miquelon,,99
Saint Kitts and Nevis,60948.91569,10
Turkmenistan,28814.28291,10
Grenada,30365.13183,10
Sudan,1440154.25,10
Turks and Caicos Islands,30348.81144,10
Aruba,60832.77521,10
Montenegro,11301.32251,10
Saint Helena,,15
Kyrgyzstan,173090.4328,10
Yemen,646944.7942,10
Saint Vincent and the Grenadines,28405.19921,10
Niger,389986.6922,10
Saint Lucia,36597.59601,10
Nauru,19289.52694,59
Equatorial Guinea,4050547.495,25
Iran,1578648143,10
Libya,29709.0242,61
Samoa,11823.54348,10
Guinea,13115283.65,10
Timor-Leste,1502.519638,10
Montserrat,,10
Chad,412855.5606,26
Mali,527273.0287,10
Papua New Guinea,10647.06591,15
Malawi,699377.7809,34
Liberia,771.8871421,10
British Virgin Islands,,10
Afghanistan,32741.11617,49
Zimbabwe,8182170.606,35
Benin,845784.6655,10
Barbados,47608.04998,10
Monaco,237295.9236,10
Syria,,81
Uzbekistan,33438579.28,10
Republic of the Congo,1503066.772,10
Djibouti,631769.5755,10
French Polynesia,,10
Cayman Islands,81457.59742,10
Kosovo,5511.417894,10
Curacao,39724.47709,10
Vanuatu,418708.5881,44
Rwanda,1172011.665,10
Sierra Leone,16146.07712,10
Mongolia,20235157.06,10
San Marino,,10
Antigua and Barbuda,58825.17468,10
Bermuda,125841.6025,10
Eswatini,66628.70161,10
Moldova,122232.6381,61
Angola,1686892.805,63
Democratic Republic of the Congo,1533740.832,22
Jamaica,1054403.747,10
Mozambique,39799.95524,31
Paraguay,45747520.42,10
Zambia,26896.69436,33
Lebanon,,10
Tanzania,2916849.5,10
Iraq,7322315.122,78
Georgia,21769.11095,10
Senegal,1035076.207,10
Azerbaijan,12114.04459,10
Cameroon,1053527.288,22
Uganda,3761142.015,20
Albania,863048.0988,10
Armenia,3160645.625,10
Nepal,180117.7694,10
Sint Maarten,68158.80463,10
Falkland Islands,,82
Gabon,4732964.643,10
Kuwait,10361.28817,10
Togo,597894.2938,10
Suriname,202049.3492,10
Belize,14919.9963,10
Algeria,728665.2895,59
Oman,8285.912278,10
Uruguay,885042.1032,10
Bahamas,35896.50511,10
Lesotho,16905.64454,99
Ukraine,185418.3438,10
Bahrain,10986.29157,10
Qatar,291912.9837,10
Mauritius,525690.2829,80
Fiji,13250.39364,63
Iceland,10985356.68,10
Kenya,273022.7359,10
Liechtenstein,,73
Guyana,4329575.55,76
Haiti,240459.6221,10
Bosnia and Herzegovina,15629.10081,70
Nigeria,1028711.973,27
Namibia,76889.47283,42
Brunei,44271.82048,47
Bolivia,25472.19456,20
Panama,18686.4051,10
Venezuela,,29
North Macedonia,491129.304,65
Ethiopia,67776.77614,10
Ghana,24909.28949,17
Peru,29600.8786,10
Nicaragua,95216.12671,36
Norway,928782.0807,30
Costa Rica,9217322.834,17
Jordan,3163.408838,40
Dominican Republic,601876.2477,10
United Arab Emirates,180101.9515,10
New Zealand,78622.08267,20
Argentina,4203155.853,10
Ecuador,6609.804082,12
Guatemala,45134.41992,10
Honduras,79504.09076,10
Madagascar,2242073.019,93
Myanmar,2589712.99,88
Tunisia,12358.30111,55
Kazakhstan,5893134.57,54
Serbia,1331348.296,74
Egypt,88682.8632,10
Saudi Arabia,120352.3586,10
El Salvador,5391.069262,10
Cote d'Ivoire,1535134.985,41
Laos,36562013.69,95
Botswana,106326.8775,74
Trinidad and Tobago,135114.2588,12
Morocco,38215.53125,10
Maldives,192802.0717,10
Tajikistan,12588.45335,10
Cabo Verde,493853.5329,10
Burundi,665915.3792,10
Guadeloupe,,10
Bhutan,,10
Martinique,,10
Tonga,,10
Mauritania,77387.07135,10
Dominica,26549.09036,10
Micronesia,4084.169404,10
Gambia,54377.43729,10
French Guiana,,10
Christmas Island,,10
Andorra,43294.00416,10
Central African Republic,300845.7957,10
Solomon Islands,17099.92447,10
Mayotte,,10
Anguilla,,10
Cocos (Keeling) Islands,,10
Eritrea,,10
Cook Islands,,10
South Sudan,,10
Comoros,723578.1956,10
Kiribati,3171.076197,10
Sao Tome and Principe,67136.70405,10
Norfolk Island,,58
Gibraltar,,10
Tuvalu,9550.098255,10
British Indian Ocean Territory,,10
Tokelau,,10
Guinea-Bissau,576995.076,10
Svalbard and Jan Mayen,,10
Heard and McDonald Islands,,10
Reunion,,73
